text,intent,split,family
Kai không nhặt chai nước,NO_ACTION,train,hard-negative-2
Iris nói nhặt chai nước lên,NO_ACTION,train,hard-negative-3
đừng bỏ súng vào nhẫn,NO_ACTION,train,hard-negative-4
Kai chưa dùng bộ sơ cứu,NO_ACTION,train,hard-negative-5
nếu lấy nó ra thì sao,NO_ACTION,train,hard-negative-6
Kai suýt nhặt chiếc đèn pin,NO_ACTION,train,hard-negative-7
Kai không định đưa nước cho Iris,NO_ACTION,train,hard-negative-8
khẩu súng đã được cất từ trước,NO_ACTION,train,hard-negative-9
Kai thấy Syvial trang bị mặt nạ,NO_ACTION,train,hard-negative-10
Iris hỏi có nên vào party không,NO_ACTION,train,hard-negative-11
Kai nhớ đã hoàn nguyên chai rỗng,NO_ACTION,train,hard-negative-12
đừng quét vật đó,NO_ACTION,train,hard-negative-13
Kai nghe ai đó bảo thả súng xuống,NO_ACTION,train,hard-negative-14
giả sử copy thêm một chai thì sao,NO_ACTION,train,hard-negative-15
Kai quan sát chiếc chìa khóa nằm dưới sàn,NO_ACTION,train,hard-negative-16
Iris từng trao đèn cho Kai,NO_ACTION,train,hard-negative-17
không được dùng chai nước,NO_ACTION,train,hard-negative-18
Kai nói rằng anh sẽ lấy nó sau,NO_ACTION,train,hard-negative-19
liệu có nên cất nó vào nhẫn,NO_ACTION,train,hard-negative-20
Kai nhìn khẩu súng đã được tháo ra,NO_ACTION,train,hard-negative-21
Syvial kể rằng cô đã nhặt cuộn băng,NO_ACTION,train,hard-negative-22
Kai không muốn Iris rời party,NO_ACTION,train,hard-negative-23
đừng mời người lạ vào nhóm,NO_ACTION,train,hard-negative-24
Kai nhớ lời dặn hãy dùng bộ sơ cứu,NO_ACTION,train,hard-negative-25
Iris nhìn Kai sao chép viên pin,NO_ACTION,train,hard-negative-26
nếu hoàn nguyên thất bại thì sao,NO_ACTION,train,hard-negative-27
Kai tưởng tượng mình triệu hồi khẩu súng,NO_ACTION,train,hard-negative-28
chưa cần mở inventory,NO_ACTION,train,hard-negative-29
Kai không hỏi status của Iris,NO_ACTION,train,hard-negative-30
Kai nhớ mình từng rút vật từ nhẫn,NO_ACTION,train,hard-negative-31
Kai hồi tưởng lần đã lấy radio khỏi Omnivault,NO_ACTION,train,hard-negative-32
trước đây Kai từng gọi súng từ kho ra,NO_ACTION,train,hard-negative-33
nếu Kai trao nước cho Iris thì sao,NO_ACTION,train,hard-negative-34
giả sử Kai giao viên pin cho cô ấy,NO_ACTION,train,hard-negative-35
liệu đưa radio sang Syvial có ổn không,NO_ACTION,train,hard-negative-36
Kai chưa hề sử dụng radio,NO_ACTION,train,hard-negative-37
Kai vẫn chưa uống chai nước,NO_ACTION,train,hard-negative-38
chưa dùng món đồ đang cầm,NO_ACTION,train,hard-negative-39
Kai chỉ nghĩ đến việc nhặt chiếc hộp,NO_ACTION,train,hard-negative-40
Iris kể chuyện cô từng rời party,NO_ACTION,train,hard-negative-41
Syvial hỏi liệu cô có thể gia nhập đội,NO_ACTION,train,hard-negative-42
đừng triệu hồi món đó từ nhẫn,NO_ACTION,train,hard-negative-43
không được sao chép vật này,NO_ACTION,train,hard-negative-44
Kai không muốn hoàn nguyên chai nước,NO_ACTION,train,hard-negative-45
Iris quan sát Kai chuyển đồ,NO_ACTION,train,hard-negative-46
Kai thấy radio được cất vào kho,NO_ACTION,train,hard-negative-47
món đồ đã nằm trong inventory từ trước,NO_ACTION,train,hard-negative-48
khẩu súng hiện không được trang bị,NO_ACTION,train,hard-negative-49
mặt nạ chưa được đeo,NO_ACTION,train,hard-negative-50
radio không nằm trong slot trang bị,NO_ACTION,train,hard-negative-51
nếu Kai đưa món đồ cho cô ấy thì sẽ thế nào,NO_ACTION,train,hard-negative-52
nếu Kai chuyển nước sang Iris thì sao,NO_ACTION,train,hard-negative-53
giả sử Kai trao chai nước cho cô ấy,NO_ACTION,train,hard-negative-54
Kai quan sát hành lang im lặng,UNKNOWN,train,unknown-0
Tôi muốn suy nghĩ thêm,UNKNOWN,train,unknown-1
Chuyện gì đang xảy ra,UNKNOWN,train,unknown-2
Kai bước về phía ánh đèn,UNKNOWN,train,unknown-3
lắng nghe tiếng động,UNKNOWN,train,unknown-4
mùi ẩm mốc nặng hơn,UNKNOWN,train,unknown-5
Kai gọi tên Iris,UNKNOWN,train,unknown-6
đợi một lát,UNKNOWN,train,unknown-7
tiếp tục tiến về phía trước,UNKNOWN,train,unknown-8
kiểm tra căn phòng,UNKNOWN,train,unknown-9
Kai áp tai vào bức tường,UNKNOWN,train,unknown-10
có tiếng chân ở xa,UNKNOWN,train,unknown-11
tìm đường thoát,UNKNOWN,train,unknown-12
Kai dừng lại suy nghĩ,UNKNOWN,train,unknown-13
quan sát dấu vết trên sàn,UNKNOWN,train,unknown-14
nói chuyện với Iris,UNKNOWN,train,unknown-15
Kai hỏi người đàn ông là ai,UNKNOWN,train,unknown-16
giữ im lặng,UNKNOWN,train,unknown-17
ẩn sau góc tường,UNKNOWN,train,unknown-18
đi theo hành lang bên trái,UNKNOWN,train,unknown-19
Kai kiểm tra cánh cửa,UNKNOWN,train,unknown-20
thử nhớ bản đồ,UNKNOWN,train,unknown-21
chờ xem chuyện gì xảy ra,UNKNOWN,train,unknown-22
hỏi Iris về quá khứ,UNKNOWN,train,unknown-23
Kai hỏi Syvial cô nhớ được gì,UNKNOWN,train,unknown-24
trò chuyện với Iris về ký ức,UNKNOWN,train,unknown-25
đề nghị Iris giải thích chuyện vừa rồi,UNKNOWN,train,unknown-26
Kai hỏi người đồng hành về Backrooms,UNKNOWN,train,unknown-27
lắng nghe câu trả lời của Syvial,UNKNOWN,train,unknown-28
thảo luận kế hoạch với Iris,UNKNOWN,train,unknown-29
Kai cúi xuống nhặt lấy bình nước,PICKUP_ITEM,test,heldout-0
gom chiếc radio lên khỏi sàn,PICKUP_ITEM,test,heldout-1
cầm lấy món đồ trước mặt,PICKUP_ITEM,test,heldout-2
đặt chiếc radio lại xuống nền,DROP_ITEM,test,heldout-0
buông vật đang cầm,DROP_ITEM,test,heldout-1
Kai để chai rỗng ở lại,DROP_ITEM,test,heldout-2
Kai bật chiếc radio,USE_ITEM,test,heldout-0
uống một ngụm nước,USE_ITEM,test,heldout-1
áp dụng bộ cứu thương,USE_ITEM,test,heldout-2
chia cho Iris một viên pin,TRANSFER_ITEM,test,heldout-0
giao chiếc radio sang tay Syvial,TRANSFER_ITEM,test,heldout-1
Kai chuyển một chai cho cô ấy,TRANSFER_ITEM,test,heldout-2
Kai rút súng cầm sẵn trên tay,EQUIP_ITEM,test,heldout-0
mang mặt nạ bảo hộ lên,EQUIP_ITEM,test,heldout-1
lắp món đồ vào ô vũ khí,EQUIP_ITEM,test,heldout-2
Kai hạ súng và cất khỏi tay,UNEQUIP_ITEM,test,heldout-0
gỡ mặt nạ đang đeo,UNEQUIP_ITEM,test,heldout-1
tháo món đồ khỏi ô vũ khí,UNEQUIP_ITEM,test,heldout-2
Nhẫn Vạn Tàng thu chiếc radio vào kho,OMNIVAULT_STORE,test,heldout-0
Kai cho món đó biến vào Omnivault,OMNIVAULT_STORE,test,heldout-1
đưa vật đang cầm vào không gian nhẫn,OMNIVAULT_STORE,test,heldout-2
gọi chiếc radio từ Nhẫn Vạn Tàng ra,OMNIVAULT_WITHDRAW,test,heldout-0
Kai lấy lại món vừa cất trong Omnivault,OMNIVAULT_WITHDRAW,test,heldout-1
cho vật đó xuất hiện từ kho nhẫn,OMNIVAULT_WITHDRAW,test,heldout-2
ghi mẫu chiếc radio vào một scan slot,OMNIVAULT_SCAN,test,heldout-0
Omnivault đọc mẫu vật thể này,OMNIVAULT_SCAN,test,heldout-1
chiếu luồng quét lên tấm kim loại,OMNIVAULT_SCAN,test,heldout-2
tạo một bản thứ hai từ mẫu trong nhẫn,OMNIVAULT_COPY,test,heldout-0
sinh thêm bản sao chiếc radio,OMNIVAULT_COPY,test,heldout-1
Kai cho Omnivault dựng lại hai bản,OMNIVAULT_COPY,test,heldout-2
đưa chiếc radio về trạng thái nguyên vẹn nhất,OMNIVAULT_RESTORE,test,heldout-0
nhẫn phục hồi chai móp,OMNIVAULT_RESTORE,test,heldout-1
trả vật thể hỏng về tình trạng tốt nhất trước đây,OMNIVAULT_RESTORE,test,heldout-2
Kai còn sở hữu món đồ nào,INVENTORY_QUERY,test,heldout-0
liệt kê hành trang hiện giờ,INVENTORY_QUERY,test,heldout-1
trong túi đang có bao nhiêu thứ,INVENTORY_QUERY,test,heldout-2
đề nghị Iris đồng hành cùng Kai,PARTY_JOIN_REQUEST,test,heldout-0
kết nạp Syvial làm thành viên,PARTY_JOIN_REQUEST,test,heldout-1
mời cô ấy đi chung đội,PARTY_JOIN_REQUEST,test,heldout-2
yêu cầu Iris tách khỏi đội hình,PARTY_REMOVE,test,heldout-0
cho Syvial ngừng đồng hành,PARTY_REMOVE,test,heldout-1
gạch cô ấy khỏi danh sách nhóm,PARTY_REMOVE,test,heldout-2
những người nào đang đồng hành,PARTY_QUERY,test,heldout-0
đội hình bốn người hiện ra sao,PARTY_QUERY,test,heldout-1
liệt kê đồng đội bên cạnh Kai,PARTY_QUERY,test,heldout-2
mở trang chi tiết của Iris,CHARACTER_QUERY,test,heldout-0
cho biết hồ sơ của Kai,CHARACTER_QUERY,test,heldout-1
xem dữ liệu nhân vật đang chọn,CHARACTER_QUERY,test,heldout-2
liệt kê hiệu ứng đang tác động lên Iris,STATUS_QUERY,test,heldout-0
tình trạng cơ thể Kai hiện giờ,STATUS_QUERY,test,heldout-1
mở phần thương tích và trạng thái,STATUS_QUERY,test,heldout-2
Kai nhớ mình từng lấy radio khỏi nhẫn,NO_ACTION,test,heldout-0
Iris nói: đừng nhặt vật đó,NO_ACTION,test,heldout-1
nếu Kai đưa nước cho cô ấy thì chuyện gì xảy ra,NO_ACTION,test,heldout-2
Kai nhìn Syvial cất súng,NO_ACTION,test,heldout-3
Kai chưa hề dùng món đồ,NO_ACTION,test,heldout-4
khẩu súng không được trang bị,NO_ACTION,test,heldout-5
Kai nghiên cứu âm thanh bất thường,UNKNOWN,test,heldout-0
thử mở cánh cửa cuối hành lang,UNKNOWN,test,heldout-1
hỏi Iris về ký ức của cô ấy,UNKNOWN,test,heldout-2
tiếp tục câu chuyện,UNKNOWN,test,heldout-3
Kai chuẩn bị đối phó nguy hiểm,UNKNOWN,test,heldout-4
